neighbourhood,price per night,price per year
Bedford-Stuyvesant,70,25550
Harlem,120,43800
Clinton Hill,89,32485
East Village,185,67525
Greenpoint,50,18250
Lower East Side,105,38325
Hell's Kitchen,130,47450
West Village,115,41975
Flatlands,77,28105
Clinton Hill,76,27740
Bedford-Stuyvesant,125,45625
Clinton Hill,135,49275
Greenpoint,250,91250
Williamsburg,199,72635
Cobble Hill,140,51100
Flushing,140,51100
Bedford-Stuyvesant,115,41975
Williamsburg,160,58400
Williamsburg,195,71175
East Village,195,71175
Williamsburg,80,29200
Fort Greene,44,16060
West Village,156,56940
Prospect Heights,85,31025
Williamsburg,125,45625
Prospect Heights,115,41975
East Harlem,69,25185
West Village,225,82125
Williamsburg,125,45625
Upper East Side,219,79935
Boerum Hill,475,173375
Upper East Side,99,36135
Williamsburg,69,25185
Sunnyside,79,28835
Bedford-Stuyvesant,135,49275
DUMBO,250,91250
Upper East Side,250,91250
Gowanus,250,91250
Harlem,80,29200
Clinton Hill,70,25550
Carroll Gardens,165,60225
St. George,70,25550
Bushwick,50,18250
Highbridge,40,14600
Williamsburg,150,54750
East Village,125,45625
Financial District,196,71540
Fort Greene,110,40150
West Village,170,62050
Harlem,165,60225
West Village,150,54750
Harlem,100,36500
Fort Greene,65,23725
Ridgewood,350,127750
Morningside Heights,99,36135
Williamsburg,200,73000
Park Slope,150,54750
Bedford-Stuyvesant,90,32850
Prospect Heights,120,43800
Upper East Side,75,27375
Bedford-Stuyvesant,175,63875
Chelsea,125,45625
Hell's Kitchen,275,100375
Lower East Side,299,109135
South Slope,135,49275
Upper East Side,130,47450
Lower East Side,83,30295
Chelsea,123,44895
Jamaica,55,20075
Hell's Kitchen,195,71175
Bedford-Stuyvesant,80,29200
Middle Village,98,35770
Ridgewood,140,51100
Middle Village,265,96725
Williamsburg,249,90885
Hell's Kitchen,105,38325
Harlem,200,73000
Prospect Heights,100,36500
Harlem,121,44165
Highbridge,45,16425
East Harlem,100,36500
Williamsburg,140,51100
Bedford-Stuyvesant,71,25915
NoHo,130,47450
West Village,199,72635
Williamsburg,69,25185
Fort Greene,68,24820
East Village,130,47450
Greenpoint,195,71175
Harlem,64,23360
Ditmars Steinway,140,51100
Cobble Hill,159,58035
East Village,189,68985
Hell's Kitchen,250,91250
East Village,239,87235
Flatiron District,305,111325
Harlem,155,56575
Harlem,60,21900
Windsor Terrace,135,49275
Roosevelt Island,120,43800
Lower East Side,150,54750
Ridgewood,140,51100
Greenpoint,135,49275
Chinatown,250,91250
Midtown,250,91250
SoHo,500,182500
Greenwich Village,225,82125
East Harlem,125,45625
Harlem,92,33580
Harlem,175,63875
East Village,99,36135
Upper West Side,195,71175
East Harlem,140,51100
Little Italy,135,49275
Chelsea,500,182500
Harlem,80,29200
Chinatown,120,43800
Midtown,110,40150
East Flatbush,65,23725
East Village,130,47450
Bushwick,99,36135
Tompkinsville,36,13140
Tompkinsville,37,13505
Tompkinsville,37,13505
East Village,175,63875
Chelsea,205,74825
Greenpoint,285,104025
Williamsburg,59,21535
Tompkinsville,36,13140
Astoria,99,36135
Kensington,39,14235
Park Slope,60,21900
Clason Point,90,32850
Eastchester,105,38325
Bedford-Stuyvesant,135,49275
East Village,390,142350
Bedford-Stuyvesant,70,25550
Inwood,75,27375
Williamsburg,60,21900
East Village,200,73000
Crown Heights,100,36500
Bedford-Stuyvesant,70,25550
Crown Heights,110,40150
Crown Heights,60,21900
Little Italy,90,32850
East Village,68,24820
Upper West Side,115,41975
Bedford-Stuyvesant,75,27375
Williamsburg,60,21900
East Village,129,47085
Williamsburg,130,47450
Williamsburg,95,34675
Harlem,75,27375
Park Slope,175,63875
Carroll Gardens,190,69350
Crown Heights,49,17885
East Village,212,77380
Lower East Side,95,34675
Williamsburg,140,51100
Harlem,135,49275
Park Slope,150,54750
Gowanus,190,69350
East Harlem,124,45260
Williamsburg,135,49275
Morningside Heights,122,44530
Upper West Side,109,39785
Harlem,85,31025
Bedford-Stuyvesant,145,52925
Upper West Side,195,71175
Carroll Gardens,250,91250
Greenpoint,125,45625
Little Italy,575,209875
Upper West Side,150,54750
Bushwick,70,25550
Inwood,90,32850
East Village,65,23725
East Village,500,182500
Washington Heights,250,91250
Chinatown,125,45625
West Village,200,73000
Greenpoint,229,83585
Kingsbridge,90,32850
Upper West Side,110,40150
Greenpoint,59,21535
Williamsburg,195,71175
Williamsburg,169,61685
East Harlem,113,41245
Harlem,250,91250
Astoria,115,41975
Greenpoint,55,20075
Williamsburg,69,25185
Lower East Side,150,54750
South Slope,169,61685
Greenpoint,179,65335
Hell's Kitchen,150,54750
Boerum Hill,135,49275
Clinton Hill,350,127750
Williamsburg,120,43800
East Village,71,25915
Greenpoint,349,127385
Greenpoint,349,127385
Park Slope,165,60225
Greenpoint,249,90885
Brooklyn Heights,100,36500
Brooklyn Heights,200,73000
East Village,169,61685
Bedford-Stuyvesant,185,67525
Bushwick,65,23725
Fort Greene,130,47450
Williamsburg,199,72635
East Village,225,82125
Greenpoint,179,65335
Crown Heights,150,54750
East Village,139,50735
Two Bridges,95,34675
Crown Heights,79,28835
Lower East Side,150,54750
Clinton Hill,650,237250
Bedford-Stuyvesant,90,32850
Bedford-Stuyvesant,120,43800
Astoria,80,29200
Crown Heights,100,36500
Bedford-Stuyvesant,175,63875
Crown Heights,120,43800
Williamsburg,140,51100
Bedford-Stuyvesant,200,73000
Clinton Hill,165,60225
Kips Bay,125,45625
Chelsea,130,47450
East Harlem,65,23725
Fort Greene,123,44895
Washington Heights,67,24455
Queens Village,50,18250
Gowanus,130,47450
Williamsburg,100,36500
Upper West Side,212,77380
Williamsburg,190,69350
Greenpoint,599,218635
East Village,249,90885
Rockaway Beach,70,25550
Crown Heights,100,36500
Harlem,60,21900
Bedford-Stuyvesant,135,49275
Greenpoint,175,63875
Upper West Side,120,43800
Midtown,169,61685
Crown Heights,165,60225
Harlem,90,32850
Upper East Side,225,82125
Fort Greene,95,34675
Crown Heights,55,20075
Hell's Kitchen,85,31025
South Slope,199,72635
Lower East Side,211,77015
Midtown,145,52925
Harlem,65,23725
Harlem,99,36135
Astoria,110,40150
Crown Heights,80,29200
Brooklyn Heights,150,54750
Bedford-Stuyvesant,110,40150
Chelsea,290,105850
East Village,87,31755
Williamsburg,190,69350
Williamsburg,200,73000
Park Slope,165,60225
Harlem,110,40150
East Village,395,144175
Bedford-Stuyvesant,99,36135
Kensington,39,14235
East Village,189,68985
Upper West Side,85,31025
Gowanus,260,94900
Harlem,122,44530
Greenpoint,165,60225
Forest Hills,97,35405
West Village,170,62050
Williamsburg,125,45625
Murray Hill,130,47450
Williamsburg,225,82125
East Flatbush,50,18250
Fort Greene,170,62050
Chelsea,132,48180
Park Slope,250,91250
Greenpoint,141,51465
Crown Heights,64,23360
Williamsburg,249,90885
Crown Heights,79,28835
East Village,185,67525
Boerum Hill,120,43800
Park Slope,495,180675
Nolita,375,136875
Nolita,175,63875
East Village,150,54750
Harlem,259,94535
East Village,96,35040
Williamsburg,145,52925
Chelsea,200,73000
Upper West Side,95,34675
Windsor Terrace,250,91250
Harlem,295,107675
Greenwich Village,175,63875
Williamsburg,451,164615
Upper West Side,165,60225
Upper East Side,250,91250
Woodlawn,77,28105
Lower East Side,250,91250
Astoria,129,47085
Williamsburg,98,35770
Park Slope,150,54750
East Village,95,34675
Harlem,55,20075
Harlem,300,109500
Sunnyside,42,15330
Greenpoint,125,45625
East Village,175,63875
Harlem,75,27375
Williamsburg,255,93075
Bedford-Stuyvesant,72,26280
Bedford-Stuyvesant,165,60225
Williamsburg,165,60225
Clinton Hill,75,27375
Greenpoint,130,47450
Williamsburg,139,50735
Bedford-Stuyvesant,88,32120
Bedford-Stuyvesant,80,29200
Chelsea,150,54750
Upper West Side,200,73000
East Village,200,73000
Sunnyside,42,15330
Williamsburg,90,32850
Harlem,295,107675
Williamsburg,450,164250
Crown Heights,130,47450
Williamsburg,89,32485
Harlem,198,72270
East Village,99,36135
Greenpoint,46,16790
SoHo,140,51100
Carroll Gardens,500,182500
Morningside Heights,75,27375
Sunnyside,33,12045
Upper West Side,250,91250
Bushwick,60,21900
Washington Heights,75,27375
Carroll Gardens,350,127750
Chelsea,205,74825
Park Slope,219,79935
Park Slope,60,21900
Upper West Side,185,67525
East Village,190,69350
South Slope,105,38325
East Harlem,250,91250
Upper West Side,175,63875
Harlem,65,23725
Bedford-Stuyvesant,75,27375
University Heights,37,13505
Williamsburg,85,31025
Gravesend,106,38690
East Harlem,79,28835
Fort Greene,85,31025
Harlem,170,62050
Lower East Side,115,41975
Harlem,89,32485
Harlem,49,17885
Greenpoint,91,33215
Gramercy,400,146000
Bushwick,150,54750
Upper West Side,2000,730000
Crown Heights,97,35405
East Village,100,36500
Williamsburg,179,65335
Greenpoint,500,182500
Chelsea,429,156585
Kips Bay,189,68985
Lower East Side,120,43800
Nolita,300,109500
Astoria,107,39055
Astoria,95,34675
Harlem,199,72635
East Harlem,120,43800
West Village,199,72635
Allerton,125,45625
Williamsburg,70,25550
Williamsburg,75,27375
West Village,100,36500
Bedford-Stuyvesant,99,36135
Chelsea,250,91250
Williamsburg,350,127750
Prospect Heights,170,62050
East Village,165,60225
Hell's Kitchen,99,36135
Chelsea,255,93075
East New York,169,61685
Crown Heights,99,36135
Upper East Side,169,61685
Bedford-Stuyvesant,160,58400
Prospect Heights,215,78475
Park Slope,130,47450
East Village,110,40150
Hell's Kitchen,150,54750
Williamsburg,65,23725
Sunnyside,75,27375
Chelsea,149,54385
Upper West Side,89,32485
Washington Heights,50,18250
Prospect-Lefferts Gardens,43,15695
Prospect-Lefferts Gardens,42,15330
Williamsburg,85,31025
Bedford-Stuyvesant,139,50735
Park Slope,105,38325
Park Slope,265,96725
Hell's Kitchen,149,54385
Harlem,68,24820
Bedford-Stuyvesant,99,36135
Harlem,75,27375
Williamsburg,100,36500
Upper East Side,90,32850
East Village,160,58400
Park Slope,190,69350
Bedford-Stuyvesant,67,24455
Upper East Side,190,69350
Clinton Hill,248,90520
Williamsburg,100,36500
Chinatown,95,34675
Theater District,150,54750
Bedford-Stuyvesant,145,52925
Bushwick,41,14965
Williamsburg,120,43800
Concourse Village,50,18250
Fort Greene,157,57305
Williamsburg,195,71175
Sheepshead Bay,70,25550
Williamsburg,185,67525
Bedford-Stuyvesant,145,52925
Sunnyside,50,18250
Greenpoint,185,67525
East Village,250,91250
West Village,80,29200
Theater District,230,83950
Gowanus,100,36500
Bushwick,40,14600
Lower East Side,200,73000
Emerson Hill,80,29200
Bedford-Stuyvesant,79,28835
Long Island City,95,34675
Upper West Side,300,109500
Fort Hamilton,100,36500
Harlem,80,29200
Bensonhurst,110,40150
Clinton Hill,172,62780
Lower East Side,199,72635
Lower East Side,199,72635
Harlem,100,36500
Harlem,55,20075
Bedford-Stuyvesant,75,27375
East Village,146,53290
NoHo,250,91250
Greenpoint,116,42340
Tribeca,150,54750
Park Slope,120,43800
Chelsea,199,72635
Prospect Heights,150,54750
Harlem,69,25185
Harlem,300,109500
Boerum Hill,230,83950
Midtown,125,45625
Bedford-Stuyvesant,79,28835
Fort Greene,130,47450
Clinton Hill,239,87235
Shore Acres,75,27375
Williamsburg,220,80300
Bedford-Stuyvesant,80,29200
East Village,288,105120
Bedford-Stuyvesant,135,49275
West Village,225,82125
Chinatown,110,40150
Bedford-Stuyvesant,100,36500
Hell's Kitchen,130,47450
East Village,89,32485
Sunset Park,200,73000
Bedford-Stuyvesant,80,29200
Concourse,50,18250
East Harlem,135,49275
East Village,90,32850
SoHo,270,98550
Bedford-Stuyvesant,110,40150
East Harlem,145,52925
Hell's Kitchen,179,65335
Ridgewood,55,20075
Midtown,110,40150
Harlem,325,118625
Long Island City,75,27375
South Slope,300,109500
West Village,130,47450
Midtown,190,69350
Lower East Side,200,73000
Williamsburg,180,65700
DUMBO,350,127750
East Village,160,58400
Kips Bay,195,71175
Greenwich Village,241,87965
Chinatown,300,109500
Ditmars Steinway,75,27375
Lower East Side,100,36500
Gramercy,399,145635
Fort Greene,85,31025
Prospect-Lefferts Gardens,80,29200
Prospect Heights,55,20075
Clinton Hill,438,159870
Bedford-Stuyvesant,110,40150
West Village,200,73000
Clinton Hill,279,101835
Williamsburg,137,50005
Bedford-Stuyvesant,280,102200
Williamsburg,199,72635
Inwood,71,25915
Kingsbridge,42,15330
Bedford-Stuyvesant,180,65700
Chelsea,226,82490
Crown Heights,85,31025
Gramercy,135,49275
Elmhurst,79,28835
Lower East Side,154,56210
Greenpoint,199,72635
West Village,700,255500
West Village,246,89790
Washington Heights,125,45625
Bedford-Stuyvesant,100,36500
Williamsburg,295,107675
Crown Heights,150,54750
Chinatown,119,43435
Harlem,125,45625
Harlem,400,146000
Greenwich Village,850,310250
Williamsburg,129,47085
Upper West Side,140,51100
Chinatown,115,41975
East Harlem,200,73000
Sunset Park,96,35040
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,199,72635
Brighton Beach,69,25185
Upper West Side,185,67525
Harlem,81,29565
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,349,127385
Greenpoint,249,90885
Greenpoint,299,109135
Greenpoint,179,65335
Jackson Heights,54,19710
Greenpoint,599,218635
Clinton Hill,110,40150
Bushwick,220,80300
Williamsburg,89,32485
Bedford-Stuyvesant,170,62050
Nolita,495,180675
Sunnyside,80,29200
Chelsea,760,277400
Cobble Hill,98,35770
Bedford-Stuyvesant,125,45625
Cypress Hills,48,17520
Williamsburg,64,23360
Clinton Hill,154,56210
Park Slope,139,50735
St. Albans,75,27375
West Village,325,118625
Chelsea,195,71175
Harlem,58,21170
Arrochar,250,91250
Arrochar,50,18250
Arrochar,125,45625
Fort Greene,70,25550
Upper East Side,189,68985
Bedford-Stuyvesant,130,47450
West Village,145,52925
Financial District,101,36865
Chelsea,95,34675
West Village,375,136875
Lower East Side,153,55845
East Flatbush,92,33580
Lower East Side,80,29200
West Village,300,109500
Fort Greene,145,52925
East Village,88,32120
Harlem,155,56575
Williamsburg,185,67525
Sunnyside,73,26645
Upper West Side,225,82125
Morningside Heights,85,31025
Crown Heights,99,36135
Cypress Hills,48,17520
Theater District,200,73000
Upper East Side,485,177025
Nolita,310,113150
Williamsburg,110,40150
Upper West Side,109,39785
Upper West Side,167,60955
Fort Greene,147,53655
Chelsea,220,80300
Lower East Side,195,71175
Little Italy,199,72635
Financial District,65,23725
Rego Park,55,20075
Wakefield,50,18250
Kensington,60,21900
East Harlem,99,36135
Harlem,130,47450
Williamsburg,290,105850
Chelsea,350,127750
Crown Heights,50,18250
Long Island City,96,35040
Bushwick,45,16425
Woodside,85,31025
Bedford-Stuyvesant,34,12410
East Village,250,91250
Williamsburg,190,69350
Williamsburg,75,27375
Prospect-Lefferts Gardens,93,33945
Bedford-Stuyvesant,60,21900
Bedford-Stuyvesant,65,23725
Midtown,125,45625
Upper East Side,300,109500
Greenwich Village,150,54750
Washington Heights,56,20440
East Village,299,109135
Greenpoint,60,21900
Fort Greene,88,32120
Williamsburg,60,21900
West Village,1300,474500
East Harlem,200,73000
Harlem,99,36135
Bushwick,110,40150
Clinton Hill,135,49275
Upper East Side,110,40150
Bedford-Stuyvesant,165,60225
Sunset Park,127,46355
Prospect Heights,402,146730
Harlem,85,31025
Greenpoint,75,27375
East Village,139,50735
Prospect-Lefferts Gardens,70,25550
East Harlem,50,18250
Astoria,30,10950
West Village,250,91250
Crown Heights,64,23360
Harlem,300,109500
Bedford-Stuyvesant,800,292000
Bedford-Stuyvesant,100,36500
Crown Heights,250,91250
West Village,200,73000
Greenpoint,140,51100
Harlem,130,47450
Kensington,90,32850
Chinatown,90,32850
Bedford-Stuyvesant,97,35405
Gowanus,91,33215
Park Slope,125,45625
Cypress Hills,75,27375
East Village,180,65700
Williamsburg,300,109500
Williamsburg,100,36500
Hell's Kitchen,175,63875
South Slope,65,23725
West Village,240,87600
East Village,300,109500
Chelsea,385,140525
Bushwick,47,17155
Crown Heights,110,40150
Harlem,75,27375
Bedford-Stuyvesant,100,36500
Hell's Kitchen,165,60225
Bedford-Stuyvesant,300,109500
Cobble Hill,140,51100
Williamsburg,120,43800
Fort Greene,175,63875
Carroll Gardens,275,100375
East Village,179,65335
Carroll Gardens,189,68985
East Village,219,79935
West Village,450,164250
SoHo,249,90885
Long Island City,65,23725
Greenpoint,250,91250
Chinatown,139,50735
Upper West Side,209,76285
Crown Heights,120,43800
Astoria,70,25550
West Village,90,32850
Hell's Kitchen,199,72635
Bushwick,50,18250
Crown Heights,100,36500
Harlem,110,40150
Williamsburg,157,57305
Greenpoint,199,72635
Astoria,192,70080
Greenpoint,199,72635
Upper West Side,150,54750
Greenpoint,199,72635
Greenpoint,199,72635
Greenpoint,199,72635
Williamsburg,105,38325
Williamsburg,135,49275
Greenpoint,199,72635
Williamsburg,125,45625
Williamsburg,60,21900
Williamsburg,85,31025
Upper West Side,300,109500
Williamsburg,75,27375
Elmhurst,55,20075
Crown Heights,44,16060
Bedford-Stuyvesant,55,20075
Williamsburg,30,10950
Fort Greene,35,12775
Williamsburg,70,25550
Williamsburg,130,47450
Bedford-Stuyvesant,52,18980
Williamsburg,75,27375
Upper East Side,190,69350
SoHo,250,91250
East New York,100,36500
Greenpoint,130,47450
Harlem,140,51100
Flatbush,75,27375
East Harlem,150,54750
East Harlem,90,32850
Upper West Side,295,107675
Upper West Side,150,54750
Williamsburg,180,65700
Fort Greene,135,49275
Bushwick,65,23725
Upper West Side,99,36135
Greenpoint,149,54385
Clifton,59,21535
Harlem,75,27375
Harlem,75,27375
Bedford-Stuyvesant,75,27375
Upper West Side,109,39785
Crown Heights,225,82125
East Harlem,86,31390
Ridgewood,52,18980
Prospect Heights,100,36500
Lower East Side,99,36135
East Village,89,32485
Bedford-Stuyvesant,135,49275
West Village,199,72635
Kensington,89,32485
Harlem,110,40150
Bushwick,120,43800
Williamsburg,59,21535
Bay Ridge,49,17885
Greenpoint,79,28835
Harlem,135,49275
South Slope,185,67525
Williamsburg,225,82125
Gramercy,245,89425
Washington Heights,115,41975
Williamsburg,325,118625
Williamsburg,95,34675
West Village,120,43800
Upper West Side,499,182135
Williamsburg,75,27375
Upper East Side,109,39785
Williamsburg,160,58400
Upper East Side,219,79935
Upper East Side,159,58035
Clinton Hill,180,65700
East Village,150,54750
Kips Bay,106,38690
Midtown,299,109135
Upper West Side,179,65335
Crown Heights,165,60225
Flatbush,500,182500
Chinatown,250,91250
Inwood,87,31755
Williamsburg,79,28835
Hell's Kitchen,75,27375
Williamsburg,200,73000
Harlem,80,29200
East Flatbush,115,41975
East Flatbush,115,41975
East Flatbush,120,43800
Harlem,125,45625
Upper West Side,387,141255
Hell's Kitchen,95,34675
Upper West Side,99,36135
Upper East Side,121,44165
Hell's Kitchen,350,127750
Harlem,75,27375
Hell's Kitchen,95,34675
Harlem,89,32485
West Village,195,71175
Flatiron District,160,58400
Sunset Park,70,25550
Greenwich Village,100,36500
Lower East Side,140,51100
East Village,189,68985
Williamsburg,160,58400
Park Slope,178,64970
Crown Heights,145,52925
Park Slope,125,45625
Chelsea,265,96725
Prospect-Lefferts Gardens,77,28105
Upper East Side,60,21900
Chinatown,129,47085
East Village,199,72635
Prospect-Lefferts Gardens,92,33580
Crown Heights,185,67525
Midtown,110,40150
Williamsburg,65,23725
Midtown,135,49275
Upper East Side,115,41975
Harlem,175,63875
Upper West Side,3000,1095000
Williamsburg,72,26280
Park Slope,80,29200
Crown Heights,125,45625
Greenpoint,120,43800
Williamsburg,94,34310
Prospect Heights,56,20440
East Village,549,200385
Greenpoint,190,69350
Williamsburg,129,47085
Bedford-Stuyvesant,85,31025
Graniteville,20,7300
Upper West Side,145,52925
Hell's Kitchen,200,73000
Park Slope,125,45625
Sheepshead Bay,50,18250
Harlem,160,58400
Harlem,180,65700
Inwood,100,36500
Williamsburg,70,25550
Spuyten Duyvil,120,43800
Stapleton,110,40150
Upper East Side,105,38325
Midtown,250,91250
Kips Bay,74,27010
Harlem,165,60225
Washington Heights,99,36135
Gramercy,125,45625
Briarwood,75,27375
Ozone Park,45,16425
Columbia St,159,58035
Williamsburg,45,16425
Hell's Kitchen,104,37960
Financial District,225,82125
Nolita,100,36500
Greenpoint,90,32850
Briarwood,75,27375
Flatiron District,350,127750
Harlem,135,49275
Upper West Side,125,45625
East Village,225,82125
Harlem,85,31025
Upper East Side,200,73000
South Slope,250,91250
Lower East Side,90,32850
Bushwick,130,47450
Prospect-Lefferts Gardens,90,32850
Carroll Gardens,298,108770
Upper East Side,300,109500
Harlem,125,45625
East Harlem,125,45625
Midtown,145,52925
East Village,147,53655
Williamsburg,123,44895
Windsor Terrace,88,32120
Long Island City,215,78475
SoHo,225,82125
Nolita,269,98185
Williamsburg,145,52925
Bushwick,75,27375
Greenwich Village,145,52925
Prospect-Lefferts Gardens,229,83585
Boerum Hill,300,109500
East Harlem,100,36500
Brighton Beach,75,27375
Nolita,225,82125
Williamsburg,120,43800
Crown Heights,160,58400
Crown Heights,125,45625
Bedford-Stuyvesant,95,34675
Williamsburg,119,43435
Midtown,275,100375
Financial District,160,58400
Clinton Hill,500,182500
East Village,175,63875
Greenpoint,87,31755
Park Slope,160,58400
East Village,125,45625
Bedford-Stuyvesant,90,32850
Lower East Side,200,73000
Bedford-Stuyvesant,250,91250
Upper West Side,99,36135
Hell's Kitchen,325,118625
Hell's Kitchen,99,36135
Midtown,325,118625
West Village,129,47085
Crown Heights,130,47450
Vinegar Hill,190,69350
Crown Heights,55,20075
Washington Heights,60,21900
Upper West Side,250,91250
Washington Heights,275,100375
Long Island City,50,18250
Prospect Heights,125,45625
Clinton Hill,150,54750
East New York,70,25550
Gowanus,138,50370
Financial District,265,96725
Upper East Side,145,52925
West Village,151,55115
Financial District,208,75920
Williamsburg,200,73000
East Village,110,40150
Harlem,58,21170
Harlem,55,20075
Park Slope,105,38325
East Village,350,127750
Prospect-Lefferts Gardens,150,54750
Williamsburg,55,20075
Park Slope,299,109135
Ridgewood,77,28105
Chelsea,125,45625
Upper West Side,395,144175
Bedford-Stuyvesant,189,68985
Mott Haven,49,17885
Upper West Side,90,32850
Kips Bay,100,36500
Williamsburg,299,109135
Jackson Heights,75,27375
Jackson Heights,69,25185
Williamsburg,90,32850
Harlem,94,34310
Windsor Terrace,80,29200
Longwood,100,36500
Canarsie,39,14235
Upper West Side,250,91250
Sunset Park,55,20075
Park Slope,110,40150
Kensington,200,73000
Windsor Terrace,142,51830
Clinton Hill,70,25550
Greenpoint,260,94900
Lower East Side,225,82125
Bedford-Stuyvesant,59,21535
Harlem,65,23725
Inwood,99,36135
East Village,239,87235
Inwood,50,18250
Harlem,65,23725
Chelsea,139,50735
West Village,174,63510
West Village,315,114975
Harlem,75,27375
East Village,210,76650
Williamsburg,55,20075
Williamsburg,229,83585
Upper East Side,150,54750
Kips Bay,129,47085
Harlem,100,36500
Williamsburg,200,73000
Lower East Side,89,32485
Crown Heights,250,91250
Bedford-Stuyvesant,65,23725
Crown Heights,68,24820
Williamsburg,235,85775
Bedford-Stuyvesant,100,36500
Lower East Side,311,113515
Jamaica,39,14235
West Village,100,36500
Lower East Side,1300,474500
Lower East Side,210,76650
Crown Heights,55,20075
Battery Park City,65,23725
Williamsburg,165,60225
Morningside Heights,89,32485
Tribeca,500,182500
Bedford-Stuyvesant,145,52925
Prospect-Lefferts Gardens,110,40150
Upper West Side,180,65700
Prospect Heights,115,41975
Bushwick,82,29930
Long Island City,70,25550
Williamsburg,155,56575
Hell's Kitchen,117,42705
Sunset Park,100,36500
East Village,89,32485
East Village,89,32485
East Village,99,36135
East Village,155,56575
Harlem,85,31025
Two Bridges,80,29200
Kips Bay,135,49275
Carroll Gardens,150,54750
Chelsea,380,138700
Fort Greene,450,164250
Williamsburg,145,52925
Sunnyside,80,29200
Williamsburg,225,82125
Upper West Side,99,36135
Lower East Side,125,45625
Hell's Kitchen,80,29200
Fort Greene,100,36500
Bedford-Stuyvesant,55,20075
Civic Center,328,119720
Williamsburg,142,51830
Clinton Hill,350,127750
Windsor Terrace,300,109500
Fort Hamilton,105,38325
Gowanus,125,45625
Williamsburg,225,82125
Sunset Park,92,33580
East Village,185,67525
Williamsburg,226,82490
Sunset Park,50,18250
East Harlem,80,29200
Carroll Gardens,200,73000
Midtown,99,36135
Park Slope,68,24820
Prospect Heights,102,37230
Park Slope,220,80300
Upper West Side,199,72635
Chinatown,165,60225
Chinatown,150,54750
Gowanus,385,140525
Columbia St,75,27375
SoHo,499,182135
East Elmhurst,85,31025
Fort Greene,160,58400
South Slope,249,90885
Gowanus,80,29200
Williamsburg,120,43800
Allerton,35,12775
Brighton Beach,169,61685
East Village,220,80300
